listing_id,number,score
44077,256,4.78
85156,210,4.79
159889,355,4.74
162809,326,4.84
165828,64,4.63
165829,76,4.69
178860,313,4.88
181823,50,4.6
237465,392,4.56
245903,43,4.93
292757,361,4.92
302554,59,4.67
302634,104,4.61
374792,35,4.48
386860,92,4.67
393631,72,4.87
419987,145,4.8
424596,518,4.84
426326,254,4.61
427077,498,4.84
427495,176,4.59
449556,270,4.19
454183,93,4.67
468082,295,4.7
497136,113,4.62
522667,430,4.81
526767,568,4.9
587218,220,4.98
592840,42,4.9
610233,61,4.82
637185,158,4.5
641880,46,4.53
654589,538,4.78
690119,216,4.9
726011,164,4.9
726075,3,4.33
736751,74,4.52
736827,7,4.67
742656,367,4.58
743772,5,4.75
747284,38,4.97
871174,243,4.45
872539,120,4.79
922425,131,4.78
928970,37,4.81
929816,161,4.96
939866,156,4.93
946923,11,4.55
990212,38,4.79
990300,204,4.9
998407,252,4.31
999963,10,4.9
1073487,72,4.9
1076634,50,4.64
1086416,240,4.86
1173029,329,4.83
1184087,18,4.89
1207950,72,4.93
1255270,10,4.9
1270261,9,4.89
1276002,70,4.87
1296492,54,4.54
1341478,138,4.59
1364560,140,4.72
1407832,63,4.94
1411019,237,4.78
1421993,56,4.76
1447994,3,5.0
1466234,141,4.73
1488124,119,4.79
1501767,61,4.64
1518845,58,4.84
1520036,51,4.56
1556554,19,4.89
1559929,60,4.92
1582908,64,4.83
1600779,73,4.9
1717912,309,4.83
1729959,4,4.75
1797712,67,4.88
1804494,107,4.88
1896821,18,4.53
1906221,512,4.89
1929739,82,4.88
1943366,133,4.83
1963074,615,4.97
2026810,292,4.73
2069629,64,4.68
2084913,48,4.79
2121887,7,4.71
2162973,58,4.82
2164444,476,4.51
2165074,121,4.83
2283713,321,4.59
2355991,56,4.94
2372993,171,4.85
2394893,243,4.92
2415104,252,4.9
2427857,249,4.96
2466169,213,4.65
2471794,114,4.92
2481147,27,4.56
2489550,450,4.89
2514537,2,5.0
2574203,371,4.91
2607040,56,4.73
2610590,2,4.0
2614726,6,4.5
2620389,6,4.17
2642164,39,4.92
2647405,70,4.61
2671586,1,5.0
2685349,106,4.87
2686112,72,4.61
2691951,69,4.94
2703497,2,5.0
2719863,3,4.33
2734096,23,4.91
2754860,7,5.0
2760521,6,4.67
2770813,102,4.62
2778697,115,4.89
2791857,249,4.94
2795703,49,4.85
2832333,183,4.91
2842414,6,3.33
2842486,139,4.34
2850155,1,5.0
2862881,34,4.85
2873250,6,5.0
2874272,144,4.56
2885736,6,4.83
2891101,109,4.83
2903645,27,4.81
2923471,55,4.87
2985355,47,4.53
3009793,31,4.53
3012532,128,4.81
3026802,11,4.91
3031518,66,4.58
3042183,35,4.85
3042237,35,4.82
3048852,82,4.82
3076665,139,4.63
3088332,20,4.9
3096382,230,4.73
3110929,40,4.8
3137058,99,4.9
3180314,6,4.5
3188621,155,4.46
3221575,31,4.58
3226975,6,3.75
3253976,78,4.92
3260995,2,4.5
3273876,3,4.33
3281268,24,4.77
3333378,119,4.85
3356956,35,4.91
3388678,13,4.85
3389175,93,4.77
3394094,208,4.75
3424579,13,4.77
3430811,25,4.92
3441888,9,4.56
3441994,26,4.92
3474511,640,4.94
3482676,5,5.0
3576358,28,4.75
3579644,239,4.91
3581384,20,4.8
3581655,266,4.94
3592153,156,4.79
3604420,28,4.86
3604440,123,4.85
3622736,5,4.25
3634410,61,4.54
3643131,46,4.59
3698469,66,4.91
3708033,7,4.8
3723817,3,4.67
3725793,5,4.6
3737322,8,5.0
3740535,6,4.17
3741414,20,4.45
3741699,7,4.57
3747675,25,4.78
3749697,109,4.84
3767317,3,4.67
3770752,304,4.9
3789686,388,4.8
3801472,1,4.0
3811548,13,4.85
3818337,51,4.76
3841286,11,4.82
3851295,34,4.91
3856095,72,4.88
3868060,6,5.0
3879473,339,4.76
3882631,171,4.78
3899828,15,4.62
3922631,5,4.8
3951360,117,4.84
3965249,185,4.87
3991589,157,4.9
4075119,12,5.0
4080295,1,5.0
4092157,23,4.71
4093174,11,4.55
4095938,189,4.79
4108004,1,5.0
4160003,22,4.77
4177992,219,4.94
4208603,119,4.92
4255534,50,4.78
4261174,14,4.93
4282658,100,4.91
4294854,187,4.55
4296435,109,4.89
4302167,103,4.84
4313897,17,4.94
4317345,7,4.67
4328664,2,5.0
4337495,75,4.8
4368210,10,4.44
4378260,108,4.75
4382103,9,4.88
4391824,138,4.7
4403308,5,5.0
4423190,1,5.0
4435614,55,4.91
4446134,21,4.81
4446326,36,4.68
4479658,4,5.0
4492472,21,4.48
